"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Создать курьера с валидными данными, отправить запрос на логин, проверить код ответа и сообщение","192","Залогиниться под валидными учетными данными - 200 (ok) + id","tests.couriers","Wed Jul 16 12:24:06 MSK 2025","passed","Wed Jul 16 12:24:07 MSK 2025","TestLoginCourier","test_login_courier","",""
"Создать курьера с валидными данными, отправить запрос на логин с неполными данными, проверить код ответа и сообщение","135","Залогиниться без указания логина или пароля - 400 (bad request) + error message","tests.couriers","Wed Jul 16 12:24:07 MSK 2025","passed","Wed Jul 16 12:24:07 MSK 2025","TestLoginCourier","test_login_courier","",""
"Отправить запрос на удаление с пустыми данными, проверить код ответа и сообщение","58","Удалить курьера без указания id - 404 (not found) + error message. Расходится с документацией","tests.couriers","Wed Jul 16 12:24:06 MSK 2025","passed","Wed Jul 16 12:24:06 MSK 2025","TestDeleteCourier","test_delete_courier","",""
"Через параметризацию дополнить данные заказа, отправить запрос на создание заказа, проверить код ответа и присвоение номера заказа","219","Создание заказа с разными цветами самокатов - 201 (created) + track id","tests.orders","Wed Jul 16 12:24:07 MSK 2025","passed","Wed Jul 16 12:24:07 MSK 2025","TestCreateOrder","test_create_order","",""
"Получить через параметризацию фильтры для списка заказов, отправить запрос на получение заказов, проверить код ответа и сообщение","2859","Получить заказы с разных страниц - 200 (ok) + orders list len > 0","tests.orders","Wed Jul 16 12:24:24 MSK 2025","passed","Wed Jul 16 12:24:27 MSK 2025","TestGetOrders","test_get_orders","",""
"Неполные данные для запросы берутся из параметризации, отправить запрос на создание, проверить код ответа и сообщение","83","Создание курьера с неполными учетными данными - 400 (bad request) + error message","tests.couriers","Wed Jul 16 12:24:06 MSK 2025","passed","Wed Jul 16 12:24:06 MSK 2025","TestCreateCourier","test_create_courier","",""
"Получить через параметризацию фильтры для списка заказов, отправить запрос на получение заказов, проверить код ответа и сообщение","2996","Получить заказы с разных страниц - 200 (ok) + orders list len > 0","tests.orders","Wed Jul 16 12:24:18 MSK 2025","passed","Wed Jul 16 12:24:21 MSK 2025","TestGetOrders","test_get_orders","",""
"Сгенерировать данные, создать курьера, отправить запрос на удаление, проверить код ответа и сообщение","262","Удалить курьера с валидными учетными данными - 200 (ok) + ok message","tests.couriers","Wed Jul 16 12:24:06 MSK 2025","passed","Wed Jul 16 12:24:06 MSK 2025","TestDeleteCourier","test_delete_courier","",""
"Сгенерировать данные, отправить запрос на создание, проверить код ответа и сообщение","245","Создание курьера с уникальными данными - 201 (created) + ok message","tests.couriers","Wed Jul 16 12:24:05 MSK 2025","passed","Wed Jul 16 12:24:06 MSK 2025","TestCreateCourier","test_create_courier","",""
"Получить через параметризацию фильтры для списка заказов, отправить запрос на получение заказов, проверить код ответа и сообщение","3004","Получить разное количество заказов с 0 страницы - 200 (ok) + orders list len","tests.orders","Wed Jul 16 12:24:15 MSK 2025","passed","Wed Jul 16 12:24:18 MSK 2025","TestGetOrders","test_get_orders","",""
"Неполные данные для запросы берутся из параметризации, отправить запрос на создание, проверить код ответа и сообщение","50","Создание курьера с неполными учетными данными - 400 (bad request) + error message","tests.couriers","Wed Jul 16 12:24:06 MSK 2025","passed","Wed Jul 16 12:24:06 MSK 2025","TestCreateCourier","test_create_courier","",""
"Через параметризацию дополнить данные заказа, отправить запрос на создание заказа, проверить код ответа и присвоение номера заказа","176","Создание заказа с разными цветами самокатов - 201 (created) + track id","tests.orders","Wed Jul 16 12:24:08 MSK 2025","passed","Wed Jul 16 12:24:08 MSK 2025","TestCreateOrder","test_create_order","",""
"Получить через параметризацию фильтры для списка заказов, отправить запрос на получение заказов, проверить код ответа и сообщение","3218","Получить разное количество заказов с 0 страницы - 200 (ok) + orders list len","tests.orders","Wed Jul 16 12:24:12 MSK 2025","passed","Wed Jul 16 12:24:15 MSK 2025","TestGetOrders","test_get_orders","",""
"Получить через параметризацию фильтры для списка заказов, отправить запрос на получение заказов, проверить код ответа и сообщение","3394","Получить заказы с разных страниц - 200 (ok) + orders list len > 0","tests.orders","Wed Jul 16 12:24:21 MSK 2025","passed","Wed Jul 16 12:24:24 MSK 2025","TestGetOrders","test_get_orders","",""
"Через параметризацию дополнить данные заказа, отправить запрос на создание заказа, проверить код ответа и присвоение номера заказа","921","Создание заказа с разными цветами самокатов - 201 (created) + track id","tests.orders","Wed Jul 16 12:24:07 MSK 2025","passed","Wed Jul 16 12:24:08 MSK 2025","TestCreateOrder","test_create_order","",""
"Сгенерировать данные, отправить запрос на создание дважды, проверить код ответа и сообщение","249","Создание курьера с неуникальными данными (попытка повторного создания) - 409 (conflict) + error message","tests.couriers","Wed Jul 16 12:24:06 MSK 2025","passed","Wed Jul 16 12:24:06 MSK 2025","TestCreateCourier","test_create_courier","",""
"Через фикстуру создать и залогиниться курьером, добавить заказ в список, отправить запрос на получение заказов, проверить код ответа, сообщение и увеличенный список заказов","3651","Получить заказы выбранного курьера - 200 (ok) + orders list len > 0","tests.orders","Wed Jul 16 12:24:28 MSK 2025","passed","Wed Jul 16 12:24:31 MSK 2025","TestGetOrders","test_get_orders","",""
"Через параметризацию дополнить данные заказа, отправить запрос на создание заказа, проверить код ответа и присвоение номера заказа","230","Создание заказа с разными цветами самокатов - 201 (created) + track id","tests.orders","Wed Jul 16 12:24:08 MSK 2025","passed","Wed Jul 16 12:24:09 MSK 2025","TestCreateOrder","test_create_order","",""
"Получить через параметризацию фильтры для списка заказов, отправить запрос на получение заказов, проверить код ответа и сообщение","3330","Получить разное количество заказов с 0 страницы - 200 (ok) + orders list len","tests.orders","Wed Jul 16 12:24:09 MSK 2025","passed","Wed Jul 16 12:24:12 MSK 2025","TestGetOrders","test_get_orders","",""
